Performance_Date,Genre,Band_Name,Venue_Name,State_Abbr,City,TotalRev
1/24/2010,Rap,Kali Bhati                                                                                          ,Tadashi's                                                                                           ,CA,San Jose                                          ,1301.54
1/30/2010,Jazz,The Thomson Group                                                                                   ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,9067.36
1/31/2010,Jazz,Hit The Heart                                                                                       ,Yukiko's                                                                                            ,CA,Santee                                            ,5030.21
2/1/2010,Rap,Early Anisha                                                                                        ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,7230.87
2/2/2010,Rock,Tranquil Winter                                                                                     ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,4970.62
2/3/2010,,Lyrical Gutierrez                                                                                   ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,6625.54
2/3/2010,,Miguel Mendoza                                                                                      ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,6698.8
2/3/2010,Rap,Resolute Sage                                                                                       ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2175.75
2/3/2010,,The Enchanting Presents                                                                             ,Grace's                                                                                             ,Texas,Garland                                           ,3588.35
2/5/2010,Pop,Handsome Anisha                                                                                     ,Hiroki's                                                                                            ,LA,Maurepas                                          ,7734.77
2/7/2010,Classical,Animated Takumi                                                                                     ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,3059.7
2/8/2010,Pop,Internal Govind                                                                                     ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7056.6
2/10/2010,,Deepa And The Losses                                                                                ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2418.27
2/11/2010,Rap,Govind Kumar                                                                                        ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,5767.07
2/12/2010,Rap,Indira Pathan                                                                                       ,Tadashi's                                                                                           ,CA,San Jose                                          ,5867.35
2/12/2010,Jazz,Thomas Murray                                                                                       ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,4781.67
2/15/2010,,The Tame File                                                                                       ,Hiroki's                                                                                            ,LA,Maurepas                                          ,6978.52
2/16/2010,Rap,Abigail Morison                                                                                     ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,4997.54
2/18/2010,,The King Project                                                                                    ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,7026.51
2/19/2010,,The Venomous Disaster                                                                               ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,3273.15
2/20/2010,Rap,Dai Liu                                                                                             ,Yukiko's                                                                                            ,CA,Santee                                            ,3298.84
2/21/2010,,The Aggarwal Group                                                                                  ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,3793.79
2/22/2010,Jazz,Gladden The Doom                                                                                    ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,77237.92
2/22/2010,Rock,Prakash Chaterjee                                                                                   ,Tadashi's                                                                                           ,CA,San Jose                                          ,4371.62
2/22/2010,,Thomas And The Salvations                                                                           ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,7784.46
2/24/2010,Rap,Indira Pathan                                                                                       ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,4410.72
2/24/2010,Pop,The Rebellious Fusion                                                                               ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,8230.54
2/28/2010,Pop,The Beautiful Group                                                                                 ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,1645.69
3/6/2010,Rock,Tranquil Winter                                                                                     ,Grace's                                                                                             ,Texas,Garland                                           ,24439.56
3/8/2010,Rap,The Salvation Gamble                                                                                ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3522.1
3/9/2010,Pop,Dizzy Yoko                                                                                          ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,79305.41
3/11/2010,Pop,Nervous Wind                                                                                        ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,8528.64
3/18/2010,Classical,Tyler Clark                                                                                         ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,1954.07
3/25/2010,,Thomas And The Salvations                                                                           ,Tadashi's                                                                                           ,CA,San Jose                                          ,3255.61
3/28/2010,Pop,Erase The Future                                                                                    ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,8637.7
3/30/2010,,The World Players                                                                                   ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,3277.29
4/2/2010,,The Loss Story                                                                                      ,Grace's                                                                                             ,Texas,Garland                                           ,6538.29
4/3/2010,Pop,Capricious Future                                                                                   ,Cheetah Expressway Bar                                                                              ,CA,Mission Viejo                                     ,70171.54
4/16/2010,Pop,Capricious Future                                                                                   ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,8495.04
4/22/2010,Pop,Keiko Yamaguchi                                                                                     ,Grace's                                                                                             ,Texas,Garland                                           ,7590.22
4/22/2010,Rock,The Painful Story                                                                                   ,Roberto's on Grant                                                                                  ,Texas,Temple                                            ,8077.14
4/23/2010,Rock,Honorable Naoko                                                                                     ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,2108.32
4/28/2010,Classical,The Aoki Experiment                                                                                 ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,2703.42
5/3/2010,Rap,Govind Kumar                                                                                        ,Hiroki's                                                                                            ,LA,Maurepas                                          ,3401.81
5/3/2010,Classical,The Summer Disaster                                                                                 ,Hiroki's                                                                                            ,LA,Maurepas                                          ,63804.56
5/5/2010,,The Tame File                                                                                       ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,7408.68
5/9/2010,Classical,Amplify The Agent                                                                                   ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,7825.85
5/14/2010,Classical,The Satire Disaster                                                                                 ,Jessica's on Wilson                                                                                 ,AR,Atkins                                            ,2775.05
5/15/2010,Rap,Ju Zhao                                                                                             ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,1985.12
5/21/2010,Pop,The Beautiful Group                                                                                 ,Yukiko's                                                                                            ,CA,Santee                                            ,9537.64
5/27/2010,,Cai Zhang                                                                                           ,Ayaka's on Henry                                                                                    ,AR,Texarkana                                         ,6364.05
5/31/2010,,The King Project                                                                                    ,Hiroki's                                                                                            ,LA,Maurepas                                          ,6785.63
6/2/2010,Rock,Elite David                                                                                         ,Madison Road Bar                                                                                    ,CA,Oceanside                                         ,4649.46
6/13/2010,Rock,Funny Sky                                                                                           ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,1875.53
6/13/2010,Jazz,Vagabond Peng                                                                                       ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,4547.79
6/19/2010,Jazz,Gladden The Doom                                                                                    ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,72681.02
6/21/2010,Classical,The Orange Experiment                                                                               ,Anjali's on Puma                                                                                    ,CA,Petaluma                                          ,3635.61
6/29/2010,,Cry The Agent                                                                                       ,Matthew's Bar and Grill                                                                             ,AR,Little Rock                                       ,6172.7
7/8/2010,Jazz,The Imperfect Winds                                                                                 ,Gang's on Third                                                                                     ,Texas,Fort Stockton                                     ,4727
7/11/2010,,Willing Krishna                                                                                     ,Yukiko's                                                                                            ,CA,Santee                                            ,2907.12
7/12/2010,Classical,The Orange Experiment                                                                               ,Yukiko's                                                                                            ,CA,Santee                                            ,35113.56
7/13/2010,,Upbeat Wheel                                                                                        ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,9910.3
7/20/2010,Pop,Pablo Rivera                                                                                        ,Yukiko's                                                                                            ,CA,Santee                                            ,6757.67
7/30/2010,Rap,Kali Bhati                                                                                          ,Noriko's Bar                                                                                        ,OK,Tulsa                                             ,4472.79
8/13/2010,Pop,The Rao Disaster                                                                                    ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,2643.09
8/15/2010,Classical,Isabel Medina                                                                                       ,Grace's                                                                                             ,Texas,Garland                                           ,20703.91
8/17/2010,Rap,The Sage Project                                                                                    ,Yukiko's                                                                                            ,CA,Santee                                            ,2567.68
8/21/2010,,Fabulous Class                                                                                      ,Amar's Bar and Grill                                                                                ,AR,Fort Smith                                        ,8665.6
8/21/2010,,Pablo Rios                                                                                          ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,8577.84
8/22/2010,Jazz,Vagabond Peng                                                                                       ,Grace's                                                                                             ,Texas,Garland                                           ,5603.11
8/28/2010,Classical,Michael Clark                                                                                       ,Fourth Road Bar and Grill                                                                           ,AZ,Queen Creek                                       ,4212.12
9/1/2010,Pop,The Metal Gang                                                                                      ,Hiroki's                                                                                            ,LA,Maurepas                                          ,9910.41
9/11/2010,Pop,Magical Guo                                                                                         ,Tadashi's                                                                                           ,CA,San Jose                                          ,1141.5
9/13/2010,Classical,Peng Ma                                                                                             ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,5772.19
9/15/2010,Jazz,Callous Alien                                                                                       ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,1780.17
9/15/2010,Jazz,Vagabond Peng                                                                                       ,Tadashi's                                                                                           ,CA,San Jose                                          ,5684.68
9/16/2010,,Ryo Watanabe                                                                                        ,Hui's Club                                                                                          ,LA,Baton Rouge                                       ,8259.25
9/17/2010,,Nosy Inoue                                                                                          ,Grant Expressway Bar                                                                                ,CA,Canoga Park                                       ,6511.14
